song,streams
Babe (Taylor's Version) (From The Vault),"112,883,443"
* Renegade,"112,324,724"
* Babe,"111,467,138"
White Horse,"110,620,307"
This Love,"110,222,260"
Better Than Revenge (Taylor's Version),"108,195,361"
Crazier,"106,008,360"
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"105,816,080"
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),"105,747,079"
Treacherous (Taylor's Version),"105,355,813"
Come Back...Be Here (Taylor's Version),"102,392,819"
Forever & Always (Taylor’s Version),"102,142,050"
Long Live (Taylor's Version),"101,803,194"
Haunted,"101,201,011"
Sparks Fly (Taylor’s Version),"101,105,779"
it’s time to go - bonus track,"100,667,080"
Out Of The Woods (Taylor's Version),"99,651,102"
Long Live,"99,138,939"
Begin Again (Taylor's Version),"98,070,533"
Fifteen (Taylor’s Version),"97,891,067"
Dear John (Taylor's Version),"92,967,262"
Sad Beautiful Tragic (Taylor's Version),"91,947,957"
White Horse (Taylor’s Version),"89,588,638"
Speak Now (Taylor's Version),"88,416,444"
New Romantics (Taylor's Version),"87,341,342"
Forever Winter (Taylor's Version) (From The Vault),"86,927,982"
Suburban Legends (Taylor's Version) (From The Vault),"86,595,180"
I Almost Do (Taylor's Version),"85,910,964"
Welcome To New York (Taylor's Version),"85,692,188"
Never Grow Up,"85,194,023"
Stay Stay Stay (Taylor's Version),"84,868,862"
Hey Stephen (Taylor’s Version),"83,487,964"
Mean (Taylor's Version),"82,483,825"
Karma (feat. Ice Spice),"81,844,614"
Shake It Off (Taylor's Version),"81,763,207"
The Story Of Us (Taylor's Version),"81,089,600"
Holy Ground (Taylor's Version),"80,971,557"
Foolish One (Taylor’s Version) (From The Vault),"80,127,618"
Back To December - Acoustic,"79,352,734"
All You Had To Do Was Stay (Taylor's Version),"76,465,378"
* Both of Us (feat. Taylor Swift),"74,798,506"
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),"73,952,114"
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"72,823,402"
Clean (Taylor's Version),"72,683,905"
The Lucky One (Taylor's Version),"72,533,452"
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),"71,687,482"
Timeless (Taylor’s Version) (From The Vault),"71,422,538"
Ours,"71,006,415"
When Emma Falls in Love (Taylor’s Version) (From The Vault),"70,681,095"
The Way I Loved You,"70,545,549"
Breathe,"69,658,797"
You’re Not Sorry (Taylor’s Version),"68,529,622"
The Last Time,"67,269,080"
The Moment I Knew (Taylor's Version),"66,028,790"
The Other Side Of The Door (Taylor’s Version),"65,750,295"
Don’t You (Taylor’s Version) (From The Vault),"65,528,163"
Starlight (Taylor's Version),"65,146,129"
I Wish You Would (Taylor's Version),"65,122,972"
Cornelia Street - Live From Paris,"65,042,328"
Last Kiss (Taylor's Version),"64,710,549"
Haunted (Taylor's Version),"64,649,591"
Carolina - From The Motion Picture “Where The Crawdads Sing”,"64,456,611"
September - Recorded at The Tracking Room Nashville,"64,322,206"
Bad Blood (Taylor's Version),"63,902,882"
I Almost Do,"63,139,146"
Breathe (feat. Colbie Caillat) (Taylor’s Version),"62,053,685"
State Of Grace,"61,404,364"
If This Was A Movie (Taylor’s Version),"61,270,264"
I Know Places (Taylor's Version),"60,327,277"
You Are In Love (Taylor's Version),"58,777,284"
Stay Stay Stay,"56,903,646"
Wonderland (Taylor's Version),"56,750,144"
How You Get The Girl (Taylor's Version),"56,663,924"
We Were Happy (Taylor’s Version) (From The Vault),"56,016,546"
Treacherous,"55,142,365"
Girl At Home (Taylor's Version),"55,015,638"
Holy Ground,"54,586,194"
Forever & Always,"54,130,280"
Tell Me Why (Taylor’s Version),"53,691,466"
Untouchable (Taylor’s Version),"52,709,221"
Mine - POP Mix,"52,563,262"
Jump Then Fall (Taylor’s Version),"51,818,561"
Bye Bye Baby (Taylor’s Version) (From The Vault),"51,281,258"
Innocent,"51,206,846"
* Gasoline (feat. Taylor Swift),"51,188,935"
Eyes Open,"51,180,098"
Today Was A Fairytale (Taylor’s Version),"49,407,461"
State Of Grace (Acoustic Version) (Taylor's Version),"49,331,264"
Hey Stephen,"48,876,043"
Never Grow Up (Taylor's Version),"48,655,107"
The Best Day (Taylor’s Version),"48,280,168"
Forever & Always (Piano Version) (Taylor’s Version),"47,884,312"
I'm Only Me When I'm With You,"47,774,045"
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),"47,587,497"
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"47,573,158"
Ours (Taylor’s Version),"47,360,916"
You're Not Sorry,"47,173,846"
The Story Of Us,"45,509,933"
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,"45,430,009"
* The Alcott (feat. Taylor Swift),"44,986,376"
The Lucky One,"44,937,156"
Starlight,"44,203,056"
If This Was A Movie,"43,350,770"
exile (feat. Bon Iver) - the long pond studio sessions,"42,997,930"
Mary's Song (Oh My My My),"42,976,760"
Come Back...Be Here,"42,330,401"
Delicate - Seeb Remix,"42,118,893"
Change (Taylor’s Version),"41,847,321"
Innocent (Taylor's Version),"41,090,374"
Ronan (Taylor's Version),"41,039,630"
Cold As You,"40,420,695"
Sad Beautiful Tragic,"40,413,354"
The Best Day,"39,976,558"
the lakes - original version,"39,282,217"
A Place in this World,"38,910,310"
cardigan - cabin in candlelight version,"38,814,121"
Come In With The Rain (Taylor’s Version),"38,614,839"
Delicate - Recorded at The Tracking Room Nashville,"38,490,259"
Death By A Thousand Cuts - Live From Paris,"37,351,366"
Superman (Taylor’s Version),"36,655,917"
Love Story (Taylor's Version) - Elvira Remix,"36,582,988"
Superstar (Taylor’s Version),"34,143,219"
willow - dancing witch version (Elvira remix),"34,039,872"
Invisible,"33,603,007"
Stay Beautiful,"33,557,560"
Eyes Open (Taylor's Version),"32,716,279"
The Moment I Knew,"32,641,238"
Tied Together with a Smile,"32,268,883"
Teardrops on My Guitar - Pop Version,"31,683,222"
Today Was A Fairytale - US Version,"31,083,477"
Tell Me Why,"31,030,273"
Last Christmas,"30,820,475"
The Outside,"30,794,423"
Forever & Always - Piano Version,"29,975,892"
Anti-Hero - Acoustic Version,"27,726,082"
Change,"26,805,687"
Superman,"26,672,205"
Jump Then Fall,"26,465,343"
...Ready For It? - BloodPop® Remix,"25,250,831"
A Perfectly Good Heart,"25,006,030"
State Of Grace - Acoustic,"24,257,439"
